ID,sex,age,rs,season,concentration,control.start.wt,treatment.start.wt,control.side,start.time,end.time,time.to.beg.inspection,control.end.wt,treatment.end.wt,camera,date,c.eaten,t.eaten,participate,dish.choice,trial.no,round,animal,forearm.wing
127-1,F,,nr,D,100,4.843,4.74,R,6:00,8:00,1:24:00,4.854,4.735,1,2/1/2018,0,0.005,1,1,4,1,Bat,43
127-1,F,,nr,D,100,5.603,5.344,R,6:00,9:00,1:53:33,5.539,3.28,1,1/31/2018,0.064,2.064,1,1,3,1,Bat,43
127-1,F,,nr,D,100,5.665,5.603,L,6:00,7:00,1:34:10,5.434,5.393,1,1/30/2018,0.231,0.21,1,0,2,1,Bat,43
127-1,F,,nr,D,100,5.725,5.415,L,6:00,7:00,0:15:48,5.184,5.361,1,1/29/2018,0.541,0.054,1,0,1,1,Bat,43
127-2,M,,r,D,100,4.717,4.76,R,6:00,8:00,,4.71,4.754,2,2/1/2018,0.007,0.006,0,0,3,1,Bat,42
127-2,M,,r,D,100,5.253,5.59,L,6:00,9:30,3:04:00,4.706,5.367,2,2/2/2018,0.547,0.223,1,0,4,1,Bat,42
127-2,M,,r,D,100,5.377,5.533,L,6:00,9:00,1:40:00,4.841,5.447,2,1/31/2018,0.536,0.086,1,0,2,1,Bat,42
127-2,M,,r,D,100,5.514,5.448,L,6:00,7:00,1:38:35,4.056,4.935,2,1/30/2018,1.458,0.513,1,0,1,1,Bat,42
128-3,M,,nr,D,100,4.857,4.662,L,6:00,8:00,1:45:00,4.827,4.654,3,2/1/2018,0.03,0.008,1,0,3,1,Bat,41
128-3,M,,nr,D,100,5.422,5.408,R,6:00,9:00,,5.289,5.27,3,1/31/2018,0.133,0.138,0,0,2,1,Bat,41
128-3,M,,nr,D,100,5.543,5.769,R,6:00,8:00,0:30:22,4.515,5.581,3,1/30/2018,1.028,0.188,1,0,1,1,Bat,41
128-3,M,,nr,D,100,5.608,5.443,R,6:00,9:30,,5.406,5.236,1,2/2/2018,0.202,0.207,0,0,4,1,Bat,41
128-4,F,,nr,D,100,4.751,4.851,L,6:00,8:00,0:13:00,2.398,4.835,4,2/1/2018,2.353,0.016,1,0,3,1,Bat,45
128-4,F,,nr,D,100,5.393,5.509,R,6:00,9:30,0:14:30,3.771,5.295,4,2/2/2018,1.622,0.214,1,0,4,1,Bat,45
128-4,F,,nr,D,100,5.558,5.743,L,6:00,9:00,0:12:23,4.019,5.658,4,1/31/2018,1.539,0.085,1,0,2,1,Bat,45
128-4,F,,nr,D,100,5.577,5.534,R,6:00,8:00,0:06:34,3.529,5.355,4,1/30/2018,2.048,0.179,1,0,1,1,Bat,45
223-1,F,,nr,D,100,5.448,5.144,L,6:15,9:15,,3.978,5.026,4,2/25/2018,1.47,0.118,1,0,1,4,Bat,41
223-2,F,,nr,D,100,5.27,5.1,L,6:15,8:15,,3.508,5.005,2,2/25/2018,1.762,0.095,1,0,1,4,Bat,43
225-1,M,,nr,D,100,4.529,4.887,L,6:05,9:20,,2.563,4.804,0,2/26/2018,1.966,0.083,1,0,0,4,Bat,44
225-1,M,,nr,D,100,4.894,4.859,L,6:05,8:00,1:42:00,4.836,2.829,1,3/2/2018,0.058,2.03,1,1,4,4,Bat,44
225-10,F,,nr,D,100,4.864,4.818,R,6:30,10:00,,2.606,2.432,0,2/28/2018,2.258,2.386,1,2,2,4,Bat,45
225-10,F,,nr,D,100,5.039,5.027,L,6:05,9:20,,3.099,4.673,0,2/26/2018,1.94,0.354,1,0,0,4,Bat,45
225-2,M,,nr,D,100,4.552,5.045,L,6:05,9:20,,2.441,4.984,0,2/26/2018,2.111,0.061,1,0,0,4,Bat,43
225-2,M,,nr,D,100,4.808,4.843,R,6:05,8:00,1:14:00,4.779,2.557,4,3/2/2018,0.029,2.286,1,1,4,4,Bat,43
225-3,M,,nr,D,100,4.938,5.183,R,6:05,9:20,,4.861,5.108,0,2/26/2018,0.077,0.075,0,0,0,4,Bat,43.5
