no,sample,tissue,plant,stage,BR,A,B,C,D,E,F,G,H,I,J,pulp_wt_mg,pulp_wt_g,insert_wt,insert_extract,extract_wt_g,extract_wt_mg,A_corr,B_corr,C_corr,D_corr,E_corr,F_corr,G_corr,H_corr,I_corr,J_corr,A_pdw,B_pdw,C_pdw,D_pdw,E_pdw,F_pdw,G_pdw,H_pdw,I_pdw,J_pdw
1,L.10.M,L,10,M,7497626,6482,10190,565,2101,14507,47139,594,767,5849,13344,10.1,0.0101,0.58188,0.58217,0.00029,0.29,0.000792498,0.001245843,6.91E-05,0.000256871,0.001773646,0.005763279,7.26E-05,9.38E-05,0.000715107,0.001631456,NA,0.00194371,NA,NA,NA,0.008991614,NA,NA,NA,NA
2,L.11.M,L,11,M,8465881,5188,8065,1429,1293,10151,33041,201,414,4136,8922,10,0.01,0.59029,0.59039,1.00E-04,0.1,0.000561747,0.000873263,0.000154729,0.000140004,0.001099132,0.003577619,2.18E-05,4.48E-05,0.000447838,0.000966058,NA,0.001376051,NA,NA,NA,0.00563746,NA,NA,NA,NA
3,L.8.M,L,8,M,7459852,2767,3283,1006,1591,5845,16808,82,84,2349,5161,10.04,0.01004,0.58033,0.58074,0.00041,0.41,0.00034001,0.000403417,0.000123618,0.000195503,0.000718236,0.002065375,1.01E-05,1.03E-05,0.000288646,0.000634186,NA,0.000633154,NA,NA,NA,0.003241564,NA,NA,NA,NA
4,L.9.M,L,9,M,11160717,3855,6909,413,1954,10995,51240,776,809,5881,19103,10.01,0.01001,0.58547,0.58581,0.00034,0.34,0.000316625,0.000567461,3.39E-05,0.000160489,0.000903059,0.004208526,6.37E-05,6.64E-05,0.000483028,0.001568998,NA,0.000893288,NA,NA,NA,0.006624992,NA,NA,NA,NA
5,P.1.1,P,1,1,5584266,962573,2620319,193946,897275,1172959,3284434,95789,149144,134080,88445,9.96,0.00996,0.57507,0.57542,0.00035,0.35,0.158008553,0.43013134,0.031836678,0.147289738,0.192543895,0.539147332,0.015723983,0.024482328,0.022009538,0.014518448,0.249983107,0.680504737,0.05036836,0.22979497,0.304620985,0.852977402,0.024876692,0.038733146,0.03482098,0.022969433
6,P.1.2,P,1,2,5998324,1661453,4051550,318368,1149336,2107140,5315444,167194,221027,267686,161936,10.03,0.01003,0.58504,0.58551,0.00047,0.47,0.253904944,0.619162009,0.048653323,0.175642701,0.322015287,0.812311581,0.025550758,0.033777572,0.040908048,0.024747225,0.398895952,0.972731033,0.076436533,0.274030017,0.505900327,1.276177595,0.040141376,0.053066067,0.064268361,0.03887899
7,P.1.3,P,1,3,6017134,1789713,4007159,331631,1217432,2240260,5519987,173620,215067,277953,160881,10.09,0.01009,0.58624,0.58685,0.00061,0.61,0.27265077,0.610463792,0.050521758,0.185467598,0.341288583,0.84093299,0.026449842,0.032764015,0.042344275,0.024509141,0.425799322,0.953362681,0.078899944,0.289358389,0.532991149,1.313286947,0.041306778,0.051167636,0.06612915,0.038275981
8,P.1.4,P,1,4,11159772,1692214,4325941,335281,568226,2284637,6680577,198322,113813,320291,241068,10.06,0.01006,0.58362,0.58428,0.00066,0.66,0.138999417,0.355335247,0.027540171,0.046674406,0.187661379,0.548746383,0.016290282,0.009348664,0.026308884,0.019801462,0.217723047,0.556582711,0.043137807,0.072819355,0.293945168,0.859534066,0.025516436,0.014643368,0.041209169,0.031016207
9,P.1.5,P,1,5,9274733,99786,310034,31310,92589,167983,740792,20572,9415,47815,44649,9.96,0.00996,0.58741,0.58769,0.00028,0.28,0.009862368,0.030642269,0.00309453,0.009151051,0.016602632,0.073216318,0.002033238,0.000930533,0.004725805,0.004412892,0.015603114,0.048478703,0.004895812,0.014277068,0.02626679,0.115834506,0.003216756,0.001472184,0.007476629,0.006981575
10,P.1.6,P,1,6,5283651,55030,75878,9209,80261,59723,194628,4361,2824,11592,12437,9.98,0.00998,0.58351,0.58396,0.00045,0.45,0.009547252,0.013164209,0.001597686,0.013924623,0.010361449,0.033766358,0.000756598,0.000489941,0.002011117,0.002157717,0.015074304,0.020785172,0.002522611,0.021724585,0.016359852,0.053314222,0.001194604,0.000773575,0.003175383,0.003406853
11,P.10.1,P,10,1,7891021,199222,360633,23756,175986,955943,2617194,33387,112009,627255,512267,10.01,0.01001,0.59507,0.59518,0.00011,0.11,0.023142865,0.041893369,0.002759644,0.020443627,0.111048275,0.304029507,0.003878441,0.013011661,0.072865836,0.059508116,0.036431113,0.065947845,0.004344187,0.031895247,0.17481035,0.478598201,0.006105378,0.020482741,0.114704189,0.093676687
12,P.10.2,P,10,2,7824147,512530,988346,62974,426640,2469842,6894403,89566,320299,1644379,1432356,9.93,0.00993,0.58943,0.59016,0.00073,0.73,0.060047552,0.115793725,0.007377977,0.049984757,0.289364459,0.807742032,0.010493472,0.037525942,0.192653959,0.167813536,0.095287397,0.183749083,0.011707858,0.07798402,0.459182517,1.281778073,0.01665173,0.059548627,0.305715948,0.266297533
