,ID,well,fungi,Conc,day0,day1,day3,abs_corr
1,1,B,R3,2.5,0.209,0.41,0.518,0.309
2,2,D,R23,2.5,0.204,0.619,0.768,0.564
3,3,F,R26,2.5,0.157,0.562,0.695,0.538
4,4,B,R3,2.5,0.209,0.412,0.516,0.307
5,5,D,R23,2.5,0.204,0.623,0.805,0.601
6,6,F,R26,2.5,0.157,0.564,0.698,0.541
7,7,B,R3,2.5,0.209,0.41,0.514,0.305
8,8,D,R23,2.5,0.204,0.617,0.813,0.609
9,9,F,R26,2.5,0.157,0.56,0.682,0.525
10,10,B,R3,1.25,0.153,0.487,0.662,0.509
11,11,D,R23,1.25,0.254,0.812,0.955,0.701
12,12,F,R26,1.25,0.162,0.663,0.705,0.543
13,13,B,R3,1.25,0.153,0.486,0.673,0.52
14,14,D,R23,1.25,0.254,0.811,0.969,0.715
15,15,F,R26,1.25,0.162,0.663,0.717,0.555
16,16,B,R3,1.25,0.153,0.486,0.697,0.544
17,17,D,R23,1.25,0.254,0.81,0.95,0.696
18,18,F,R26,1.25,0.162,0.662,0.603,0.441
19,19,B,R3,0.625,0.159,0.607,0.704,0.545
20,20,D,R23,0.625,0.184,0.768,0.997,0.813
21,21,F,R26,0.625,0.189,0.648,0.709,0.52
22,1,B,R3,0.625,0.159,0.608,0.761,0.602
23,2,D,R23,0.625,0.184,0.769,1.027,0.843
24,3,F,R26,0.625,0.189,0.647,0.696,0.507
25,4,B,R3,0.625,0.159,0.596,0.766,0.607
26,5,D,R23,0.625,0.184,0.76,0.982,0.798
27,6,F,R26,0.625,0.189,0.648,0.551,0.362
28,7,B,R3,0.3125,0.164,0.682,0.898,0.734
29,8,D,R23,0.3125,0.163,0.867,1.029,0.866
30,9,F,R26,0.3125,0.19,0.66,0.755,0.565
31,10,B,R3,0.3125,0.164,0.682,0.938,0.774
32,11,D,R23,0.3125,0.163,0.866,1.087,0.924
33,12,F,R26,0.3125,0.19,0.66,0.756,0.566
34,13,B,R3,0.3125,0.164,0.684,0.952,0.788
35,14,D,R23,0.3125,0.163,0.871,1.101,0.938
36,15,F,R26,0.3125,0.19,0.659,0.558,0.368
37,16,B,R3,0.15625,0.157,0.686,0.964,0.807
38,17,D,R23,0.15625,0.18,0.886,1.124,0.944
39,18,F,R26,0.15625,0.215,0.803,0.824,0.609
40,19,B,R3,0.15625,0.157,0.687,0.96,0.803
41,20,D,R23,0.15625,0.18,0.888,1.17,0.99
42,21,F,R26,0.15625,0.215,0.8,0.828,0.613
43,1,B,R3,0.15625,0.157,0.685,0.963,0.806
44,2,D,R23,0.15625,0.18,0.889,1.247,1.067
45,3,F,R26,0.15625,0.215,0.802,0.685,0.47
46,4,B,R3,0.078125,0.17,0.71,0.886,0.716
47,5,D,R23,0.078125,0.191,0.908,1.169,0.978
48,6,F,R26,0.078125,0.199,0.764,0.753,0.554
49,7,B,R3,0.078125,0.17,0.711,0.885,0.715
50,8,D,R23,0.078125,0.191,0.91,1.19,0.999
51,9,F,R26,0.078125,0.199,0.765,0.769,0.57
52,10,B,R3,0.078125,0.17,0.71,0.986,0.816
53,11,D,R23,0.078125,0.191,0.909,1.163,0.972
54,12,F,R26,0.078125,0.199,0.762,0.618,0.419
55,13,B,R3,0.039062525,0.169,0.522,1.028,0.859
56,14,D,R23,0.039062525,0.186,0.943,1.173,0.987
