event,tree.no,branch.no,date,time.of.day,ripeness
1,1,2,26-May,1,1
2,1,2,27-May,1,1
3,1,2,27-May,1,1
4,1,2,28-May,1,1
5,1,4,28-May,1,1
6,1,4,28-May,1,1
7,1,5,28-May,1,2
8,1,7,28-May,1,1
9,1,11,28-May,1,2
10,1,1,29-May,1,1
11,1,2,29-May,1,1
12,1,4,29-May,1,1
13,1,6,29-May,1,1
14,1,9,29-May,1,1
15,1,8,30-May,1,2
16,1,10,30-May,1,1
17,1,3,31-May,1,1
18,1,10,31-May,1,1
20,2,C1,26-May,2,2
21,3,1,28-May,1,1
22,3,2,27-May,1,2
23,3,7,28-May,1,1
24,3,12,28-May,1,1
25,4,A1,26-May,2,2
26,4,A3,28-May,1,1
27,4,A8,28-May,1,1
28,4,A8,30-May,1,1
29,4,A9,29-May,1,1
30,4,B4,26-May,1,1
31,4,B7,27-May,1,2
32,4,B9,27-May,1,1
33,4,A7,31-May,1,1
34,5,A1,29-May,1,1
35,5,A3,30-May,1,1
36,5,A4,26-May,1,1
38,5,B6,28-May,1,1
39,5,B4,31-May,1,1
40,5,B4,31-May,1,1
41,5,B5,31-May,1,1
42,6,B3,26-May,1,1
43,6,B4,30-May,1,1
44,6,B4,27-May,1,2
45,6,B5,28-May,1,1
46,6,B8,30-May,1,1
47,6,B9,25-May,2,2
48,6,B11,30-May,1,1
49,6,A3,31-May,1,1
51,7,B2,29-May,1,2
52,7,B5,30-May,1,1
53,7,B2,31-May,1,1
54,8,6,29-May,1,1
55,9,2,29-May,1,1
56,9,3,28-May,1,1
57,9,4,26-May,1,1
58,9,5,27-May,1,1
59,9,7,28-May,1,1
60,9,5,31-May,1,1
61,9,6,31-May,1,1
62,10,A6,26-May,1,1
63,10,A6,29-May,1,1
64,10,A6,29-May,1,1
65,10,A7,28-May,1,1
66,10,A7,29-May,1,2
67,10,A8,27-May,1,1
68,10,A8,29-May,1,1
69,10,A9,26-May,1,1
70,10,A9,28-May,1,1
71,10,B5,26-May,1,1
72,10,A7,31-May,1,1
73,10,A8,31-May,1,1
,,,,,
19,2,B1,25-May,2,2
50,7,A8,25-May,2,2
37,5,A5,28-May,2,1
