bird,sex,age,wing,rs,season,concentration,control start wt,treatment start wt,control side,start time,end time,time to beg inspection,control end wt,treatment end wt,camera,date,c eaten,t eaten,participate,dish choice,trial no,dish no,round,NOTES
210-1,F,A,74,nr,D,100,5.8,5.183,R,6:06,7:37,,5.15,2.432,,2/12/2018,0.65,2.751,1,1,1,,3,
210-1,F,A,74,nr,D,100,5.486,5.72,L,6:15,7:45,,5.225,5.034,1,2/13/2018,0.261,0.686,1,1,2,,3,"Bird first went to control but proceeded to eat the treatment and return to the treatment dish more often, which is shown in the weights."
210-1,F,A,74,nr,D,100,4.442,5.349,L,6:10,7:40,,4.416,3.601,,2/14/2018,0.026,1.748,1,1,3,,3,"Control tray left uncovered in fridge overnight, more dissicated than treatment dishes"
210-1,F,A,74,nr,D,100,4.222,4.012,R,6:12,7:42,0:37:20,4.22,3.95,1,2/15/2018,0.002,0.062,0,,4,,3,
210-2,M,J,75,nr,D,100,5.618,5.579,R,6:06,7:37,,5.367,5.422,,2/12/2018,0.251,0.157,0,,1,,3,
210-2,M,J,75,nr,D,100,5.253,5.588,R,6:15,7:45,,5.163,5.174,2,2/13/2018,0.09,0.414,0,,2,,3,"first recording could not read on computer. In the other three (the camera splits the 90 minutes in weird ways), the bird did not touch the food. Dishes relatively undisturbed."
210-2,M,J,75,nr,D,100,4.115,5.378,L,6:10,7:40,,4.085,5.199,,2/14/2018,0.03,0.179,0,,3,,3,
210-2,M,J,75,nr,D,100,3.964,3.998,L,6:12,9:12,,3.943,3.983,,2/15/2018,0.021,0.015,0,,4,,3,
210-3,M,A,74,nr,D,100,5.862,5.955,R,6:06,7:37,,,,,2/12/2018,,,0,,1,,3,
210-3,M,A,74,nr,D,100,5.429,5.889,L,6:15,7:45,,5.411,3.928,,2/13/2018,0.018,1.961,1,1,2,,3,
210-3,M,A,74,nr,D,100,4.014,5.227,R,6:10,7:40,,3.99,2.427,,2/14/2018,0.024,2.8,1,1,3,,3,
210-3,M,A,74,nr,D,100,3.918,4.242,R,6:12,7:42,,3.905,3.678,,2/15/2018,0.013,0.564,1,1,4,,3,
211-4,F,A,73,nr,D,100,4.341,4.528,R,6:15,7:45,,2.628,4.408,,2/13/2018,1.713,0.12,1,0,1,,3,
211-4,F,A,73,nr,D,100,4.574,5.516,R,6:10,7:40,,4.545,5.345,,2/14/2018,0.029,0.171,0,,2,,3,
211-4,F,A,73,nr,D,100,4.063,4.161,L,6:12,7:42,,4.047,2.626,,2/15/2018,0.016,1.535,1,1,3,,3,
211-4,F,A,73,nr,D,100,3.378,3.731,L,6:13,7:45,,3.367,2.536,1,2/16/2018,0.011,1.195,1,1,4,,3,Fuzzy footage. Saved on hard drive.
213-5,M,A,75,nr,D,100,4.884,4.849,L,6:10,7:40,,4.666,4.67,,2/14/2018,0.218,0.179,1,0,1,,3,both dishes food was flung but didn't acutally eat a lot
213-5,M,A,75,nr,D,100,3.691,4.492,R,6:12,7:42,,3.689,3.609,,2/15/2018,0.002,0.883,1,1,2,,3,"flung food again but didn't consume much, if any????"
217-1,M,A,73,nr,D,100,5.831,5.926,R,6:08,8:30,,2.763,5.374,1,2/18/2018,3.068,0.552,1,0,,,3,
217-1,M,A,73,nr,D,100,5.359,5.268,L,6:10,8:10,,5.349,5.203,1,2/19/2018,0.01,0.065,0,,,,3,
217-1,M,A,73,nr,D,100,5.243,5.159,R,6:10,9:10,,2.636,4.333,1,2/20/2018,2.607,0.826,1,0,,,3,"jumps into T dish at 24 min, doesn't actually eat anything. At 41 min, jumps into C dish, doesn’t eat anything. Keeps jumping in dishes and putting head in. Eating off of tray, maybe thrown food? Wtf bird"
217-1,M,A,73,nr,D,100,4.272,4.318,R,6:15,6:20,,3.186,3.321,1,2/21/2018,1.086,0.997,1,0,,,3,
218-2,M,J,74,nr,D,100,4.337,4.77,L,6:10,9:10,,4.377,4.759,2,2/19/2018,-0.04,0.011,0,,,,3,
218-2,M,J,74,nr,D,100,5.119,5.231,L,6:10,9:10,,3.196,2.588,2,2/20/2018,1.923,2.643,1,2,,,3,"eats T at 24:39,  C at 25min, eats T at 49:47, eats more C at 2h4m"
218-2,M,J,74,nr,D,100,3.988,4.282,R,6:15,8:15,,2.63,4.281,2,2/21/2018,1.358,0.001,1,0,,,3,
