tissue,compound,N,mean,sd,se
Dev. flowers (6),A,11,nd,nd,nd
Dev. flowers (6),B,11,0.000309485566363636,0.000473139433559825,0.000142656906785384
Dev. flowers (6),C,11,0.000416793986363636,0.000579820162224387,0.000174822356725572
Dev. flowers (6),D,11,0.000534046421818182,0.000506891157008205,0.000152833434304122
Dev. flowers (6),E,11,0.00109435134545455,0.00136029910742611,0.000410145612907978
Dev. flowers (6),F,11,0.00123582789181818,0.0010334936356134,0.000311610055686359
Dev. flowers (6),G,11,0.00017554678,0.000249702833154563,7.52882369693093e-05
Dev. flowers (6),H,11,0.000255986436363636,0.000318170734172567,9.59320858656649e-05
Dev. flowers (6),I,11,0.000304378467272727,0.000296425910847446,8.93757749473017e-05
Dev. flowers (6),J,11,0.000252600662727273,0.000256841733375574,7.74406963737527e-05
Flowers (4),A,21,0.0017281041147619,0.00333308654048264,0.000727339112838104
Flowers (4),B,21,0.00122750507714286,0.00177467813728197,0.000387266518965611
Flowers (4),C,21,0.00046777231047619,0.00066387215761724,0.00014486878162165
Flowers (4),D,21,0.0015146030752381,0.00271361533069973,0.00059215941237734
Flowers (4),E,21,0.00278140179666667,0.00456355001129294,0.000995848255450785
Flowers (4),F,21,0.00526061032095238,0.00497906314241696,0.00108652065429002
Flowers (4),G,21,0.000357638217619048,0.000625333965417674,0.000136459058626352
Flowers (4),H,21,0.000243740007619048,0.000231351923961652,5.04851287489494e-05
Flowers (4),I,21,0.000896649175238095,0.000685542936556985,0.000149597733281652
Flowers (4),J,21,0.000852942312857143,0.000868423786039832,0.000189505606420365
Flowers (5),A,15,0.000836362014,0.00117148035907792,0.000302474928074525
Flowers (5),B,15,0.000272123481333333,0.000176487442256341,4.55688616449034e-05
Flowers (5),C,15,0.000330803884,0.00042874867737241,0.00011070243247812
Flowers (5),D,15,0.000509251674666667,0.000734796721010926,0.000189723697554876
Flowers (5),E,15,0.00187727387,0.00351205180336034,0.000906807876362155
Flowers (5),F,15,0.003261303486,0.00295323709847169,0.000762522539985518
Flowers (5),G,15,0.000455392713333333,0.000519045869210492,0.000134017067157999
Flowers (5),H,15,0.000378451084,0.000484046264287528,0.000124980208025301
Flowers (5),I,15,0.0004935185,0.000562161804314381,0.000145149553732234
Flowers (5),J,15,0.000664166644,0.000673734808893816,0.000173957579640399
Mature leaves,A,4,nd,nd,nd
Mature leaves,B,4,1.21155075e-05,5.77047507593251e-06,2.88523753796626e-06
Mature leaves,C,4,nd,nd,nd
Mature leaves,D,4,nd,nd,nd
Mature leaves,E,4,nd,nd,nd
Mature leaves,F,4,6.1239075e-05,2.38183133103718e-05,1.19091566551859e-05
Mature leaves,G,4,nd,nd,nd
Mature leaves,H,4,nd,nd,nd
Mature leaves,I,4,nd,nd,nd
Mature leaves,J,4,nd,nd,nd
Ripe pulp (1),A,20,0.0039286433605,0.00572809057630136,0.00128083999098858
Ripe pulp (1),B,20,0.002206695882,0.00222432596070494,0.000497374405225378
Ripe pulp (1),C,20,0.001346649828,0.00224916649214749,0.000502928916915654
Ripe pulp (1),D,20,0.001987187244,0.0022676006253806,0.000507050914417206
Ripe pulp (1),E,20,0.0049775010935,0.00788359944904523,0.0017628264275445
Ripe pulp (1),F,20,0.008298529116,0.00727666856065846,0.00162711255513679
Ripe pulp (1),G,20,0.0005633783915,0.000599846278806364,0.000134129705546132
Ripe pulp (1),H,20,0.000993436021,0.00148415070285406,0.000331866186043578
Ripe pulp (1),I,20,0.001490589214,0.00125091653984032,0.000279713441726179
Ripe pulp (1),J,20,0.001281158292,0.00128007850464779,0.000286234255292874
Seeds,A,6,nd,nd,nd
Seeds,B,6,0.000767416038333333,0.00181970995862801,0.000742893479749951
Seeds,C,6,nd,nd,nd
Seeds,D,6,nd,nd,nd
Seeds,E,6,nd,nd,nd
Seeds,F,6,0.000317936411666667,0.000639510692581095,0.000261079146979593
Seeds,G,6,nd,nd,nd
Seeds,H,6,nd,nd,nd
Seeds,I,6,nd,nd,nd
Seeds,J,6,nd,nd,nd
Unripe pulp (2),A,21,0.00534739575047619,0.00685837089265178,0.00149661922665041
Unripe pulp (2),B,21,0.00370335870047619,0.00320457398659644,0.000699295374460219
Unripe pulp (2),C,21,0.00153347092952381,0.00243791269555405,0.000531996165003347
Unripe pulp (2),D,21,0.00249277201,0.00278881657485917,0.000608569669220935
Unripe pulp (2),E,21,0.0102642096133333,0.0145560684400033,0.00317639454510824
Unripe pulp (2),F,21,0.0103126682747619,0.00952346600802989,0.00207819066000647
Unripe pulp (2),G,21,0.000639999985714286,0.000584608538081788,0.000127572041794156
Unripe pulp (2),H,21,0.000777375397619048,0.000883224860012994,0.000192735465556015
Unripe pulp (2),I,21,0.00164459464333333,0.00128830785018763,0.000281131821042412
Unripe pulp (2),J,21,0.0025228275452381,0.00246926798264346,0.000538838449599741
Unripe pulp (3),A,19,0.00385760469,0.00471026165300126,0.00108060813384565
Unripe pulp (3),B,19,0.00236080406473684,0.00257793567536986,0.000591419004836079
Unripe pulp (3),C,19,0.00117145405052632,0.00122817812791295,0.000281763386538923
Unripe pulp (3),D,19,0.00167816495473684,0.00175719804475893,0.000403128878994287
Unripe pulp (3),E,19,0.00962712107368421,0.0138488748316631,0.00317714978278754
