Tissue,Compound,N,mean,sd,se
Ripe pulp (1),A,20,0.003928643,0.005728091,0.00128084
Ripe pulp (1),B,20,0.002206696,0.002224326,0.000497374
Ripe pulp (1),C,20,0.00134665,0.002249166,0.000502929
Ripe pulp (1),D,20,0.001987187,0.002267601,0.000507051
Ripe pulp (1),E,20,0.004977501,0.007883599,0.001762826
Ripe pulp (1),F,20,0.008298529,0.007276669,0.001627113
Ripe pulp (1),G,20,0.000563378,0.000599846,0.00013413
Ripe pulp (1),H,20,0.000993436,0.001484151,0.000331866
Ripe pulp (1),I,20,0.001490589,0.001250917,0.000279713
Ripe pulp (1),J,20,0.001281158,0.001280079,0.000286234
Unripe pulp (2),A,21,0.005347396,0.006858371,0.001496619
Unripe pulp (2),B,21,0.003703359,0.003204574,0.000699295
Unripe pulp (2),C,21,0.001533471,0.002437913,0.000531996
Unripe pulp (2),D,21,0.002492772,0.002788817,0.00060857
Unripe pulp (2),E,21,0.01026421,0.014556068,0.003176395
Unripe pulp (2),F,21,0.010312668,0.009523466,0.002078191
Unripe pulp (2),G,21,0.00064,0.000584609,0.000127572
Unripe pulp (2),H,21,0.000777375,0.000883225,0.000192735
Unripe pulp (2),I,21,0.001644595,0.001288308,0.000281132
Unripe pulp (2),J,21,0.002522828,0.002469268,0.000538838
Unripe pulp (3),A,19,0.003857605,0.004710262,0.001080608
Unripe pulp (3),B,19,0.002360804,0.002577936,0.000591419
Unripe pulp (3),C,19,0.001171454,0.001228178,0.000281763
Unripe pulp (3),D,19,0.001678165,0.001757198,0.000403129
Unripe pulp (3),E,19,0.009627121,0.013848875,0.00317715
Unripe pulp (3),F,19,0.007268165,0.005107066,0.001171641
Unripe pulp (3),G,19,0.00073298,0.000736568,0.00016898
Unripe pulp (3),H,19,0.000569358,0.000524666,0.000120367
Unripe pulp (3),I,19,0.001807324,0.001613549,0.000370173
Unripe pulp (3),J,19,0.001752484,0.002046959,0.000469605
Flowers (4),A,21,0.001728104,0.003333087,0.000727339
Flowers (4),B,21,0.001227505,0.001774678,0.000387267
Flowers (4),C,21,0.000467772,0.000663872,0.000144869
Flowers (4),D,21,0.001514603,0.002713615,0.000592159
Flowers (4),E,21,0.002781402,0.00456355,0.000995848
Flowers (4),F,21,0.00526061,0.004979063,0.001086521
Flowers (4),G,21,0.000357638,0.000625334,0.000136459
Flowers (4),H,21,0.00024374,0.000231352,5.05E-05
Flowers (4),I,21,0.000896649,0.000685543,0.000149598
Flowers (4),J,21,0.000852942,0.000868424,0.000189506
Flowers (5),A,15,0.000836362,0.00117148,0.000302475
Flowers (5),B,15,0.000272123,0.000176487,4.56E-05
Flowers (5),C,15,0.000330804,0.000428749,0.000110702
Flowers (5),D,15,0.000509252,0.000734797,0.000189724
Flowers (5),E,15,0.001877274,0.003512052,0.000906808
Flowers (5),F,15,0.003261303,0.002953237,0.000762523
Flowers (5),G,15,0.000455393,0.000519046,0.000134017
Flowers (5),H,15,0.000378451,0.000484046,0.00012498
Flowers (5),I,15,0.000493519,0.000562162,0.00014515
Flowers (5),J,15,0.000664167,0.000673735,0.000173958
Dev. flowers (6),A,11,nd,nd,nd
Dev. flowers (6),B,11,0.000309486,0.000473139,0.000142657
Dev. flowers (6),C,11,0.000416794,0.00057982,0.000174822
Dev. flowers (6),D,11,0.000534046,0.000506891,0.000152833
Dev. flowers (6),E,11,0.001094351,0.001360299,0.000410146
Dev. flowers (6),F,11,0.001235828,0.001033494,0.00031161
Dev. flowers (6),G,11,0.000175547,0.000249703,7.53E-05
Dev. flowers (6),H,11,0.000255986,0.000318171,9.59E-05
Dev. flowers (6),I,11,0.000304378,0.000296426,8.94E-05
Dev. flowers (6),J,11,0.000252601,0.000256842,7.74E-05
Seeds,A,6,nd,nd,nd
Seeds,B,6,0.000767416,0.00181971,0.000742893
Seeds,C,6,nd,nd,nd
Seeds,D,6,nd,nd,nd
Seeds,E,6,nd,nd,nd
Seeds,F,6,0.000317936,0.000639511,0.000261079
Seeds,G,6,nd,nd,nd
Seeds,H,6,nd,nd,nd
Seeds,I,6,nd,nd,nd
Seeds,J,6,nd,nd,nd
Mature leaves,A,4,nd,nd,nd
Mature leaves,B,4,1.21E-05,5.77E-06,2.89E-06
Mature leaves,C,4,nd,nd,nd
Mature leaves,D,4,nd,nd,nd
Mature leaves,E,4,nd,nd,nd
Mature leaves,F,4,6.12E-05,2.38E-05,1.19E-05
Mature leaves,G,4,nd,nd,nd
Mature leaves,H,4,nd,nd,nd
Mature leaves,I,4,nd,nd,nd
Mature leaves,J,4,nd,nd,nd
